# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 relative abundance in experiment E-PROT-100
# Selected columns: 2 (all)
# Timestamp: Fri, 20-Dec-2024 11:49:19
Gene ID	Gene Name	normal tissue adjacent to tumor	tumor
ENSG00000000003	TSPAN6		16453.0
ENSG00000000971	CFH	297515.0	571712.0
ENSG00000001084	GCLC	96313.0	30883.0
ENSG00000002330	BAD	16420.0	
ENSG00000002549	LAP3	1246120.0	381457.0
ENSG00000002726	AOC1		5955.0
ENSG00000002834	LASP1	616055.0	416413.0
ENSG00000003056	M6PR	4954.0	4448.0
ENSG00000004059	ARF5	76473.0	154231.0
ENSG00000004142	POLDIP2		3322.0
ENSG00000004455	AK2	303855.0	185605.0
ENSG00000004478	FKBP4	81129.0	122537.0
ENSG00000004700	RECQL	1082.0	5605.0
ENSG00000004776	HSPB6	76319.0	60022.0
ENSG00000004864	SLC25A13	4477.0	7554.0
ENSG00000004939	SLC4A1	32351.0	74914.0
ENSG00000005007	UPF1	2146.0	8762.0
ENSG00000005022	SLC25A5	2907.0	158503.0
ENSG00000005187	ACSM3	13113.0	
ENSG00000005194	CIAPIN1		6658.0
ENSG00000005243	COPZ2	16905.0	
ENSG00000005381	MPO	115661.0	172194.0
ENSG00000005421	PON1	307155.0	243586.0
ENSG00000005893	LAMP2		21975.0
ENSG00000006125	AP2B1	50772.0	72907.0
ENSG00000006453	BAIAP2L1		18.0
ENSG00000006611	USH1C		1282.0
ENSG00000006625	GGCT	356263.0	218955.0
ENSG00000006715	VPS41		2084.0
ENSG00000006744	ELAC2		1020.0
ENSG00000006747	SCIN		1208.0
ENSG00000006756	ARSD	677.0	
ENSG00000007062	PROM1		2051.0
ENSG00000007080	CCDC124	37072.0	26914.0
ENSG00000007168	PAFAH1B1	8651.0	46183.0
ENSG00000007923	DNAJC11		954.0
ENSG00000007933	FMO3	203398.0	12941.0
ENSG00000008294	SPAG9	5802.0	5036.0
ENSG00000008311	AASS	5536.0	
ENSG00000008394	MGST1	69348.0	116128.0
ENSG00000008438	PGLYRP1	18383.0	16687.0
ENSG00000008988	RPS20	511599.0	765725.0
ENSG00000009307	CSDE1	1129688.0	361252.0
ENSG00000009335	UBE3C		1133.0
ENSG00000009844	VTA1	31786.0	56605.0
ENSG00000009954	BAZ1B	7043.0	244.0
ENSG00000010165	EEF1AKNMT		883.0
ENSG00000010244	ZNF207	9409.0	2177.0
ENSG00000010256	UQCRC1	12015.0	126371.0
ENSG00000010278	CD9		55815.0
ENSG00000011009	LYPLA2	25330.0	53048.0
ENSG00000011028	MRC2		14.0
ENSG00000011260	UTP18		3197.0
ENSG00000011304	PTBP1	89474.0	252382.0
ENSG00000011422	PLAUR		8342.0
ENSG00000011454	RABGAP1		1748.0
ENSG00000011465	DCN	15928.0	63304.0
ENSG00000011485	PPP5C	18842.0	24719.0
ENSG00000012223	LTF	250721.0	430906.0
ENSG00000013016	EHD3	8363.0	
ENSG00000013364	MVP	6082.0	340212.0
ENSG00000013374	NUB1		1778.0
ENSG00000013375	PGM3	112882.0	28578.0
ENSG00000013583	HEBP1	245549.0	54962.0
ENSG00000013588	GPRC5A		131022.0
ENSG00000014123	UFL1		6155.0
ENSG00000014216	CAPN1	29020.0	85954.0
ENSG00000014641	MDH1	1301589.0	192707.0
ENSG00000015413	DPEP1	332.0	38517.0
ENSG00000015475	BID	72370.0	26373.0
ENSG00000015676	NUDCD3	3240.0	5778.0
ENSG00000016391	CHDH	1561.0	2988.0
ENSG00000018510	AGPS		3826.0
ENSG00000019582	CD74		5412.0
ENSG00000020922	MRE11		1133.0
ENSG00000021355	SERPINB1	11079.0	181812.0
ENSG00000021776	AQR		350.0
ENSG00000021826	CPS1	1757142.0	471416.0
ENSG00000021852	C8B	6849.0	77299.0
ENSG00000022267	FHL1	40059.0	47132.0
ENSG00000023318	ERP44	122533.0	158141.0
ENSG00000023697	DERA		14388.0
ENSG00000023734	STRAP	34197.0	58327.0
ENSG00000023909	GCLM	55838.0	17492.0
ENSG00000024048	UBR2		2357.0
ENSG00000024422	EHD2	6449.0	4337.0
ENSG00000025423	HSD17B6	68169.0	1352.0
ENSG00000025708	TYMP	473118.0	291143.0
ENSG00000025772	TOMM34		8964.0
ENSG00000025796	SEC63		1068.0
ENSG00000026025	VIM	132063.0	892905.0
ENSG00000026297	RNASET2	19305.0	60847.0
ENSG00000026508	CD44		14834.0
ENSG00000028528	SNX1	41734.0	37075.0
ENSG00000029363	BCLAF1		4201.0
ENSG00000029534	ANK1	4840.0	2638.0
ENSG00000029993	HMGB3	17394.0	197255.0
ENSG00000030066	NUP160		210.0
ENSG00000030582	GRN	14431.0	3656.0
ENSG00000031698	SARS1	191105.0	92157.0
ENSG00000031823	RANBP3		1466.0
ENSG00000032389	EIPR1		10505.0
ENSG00000033178	UBA6	20582.0	17971.0
ENSG00000034152	MAP2K3		2909.0
ENSG00000034510	TMSB10	1234761.0	4324253.0
ENSG00000035141	FAM136A	24020.0	29653.0
ENSG00000035403	VCL	216573.0	343540.0
ENSG00000035687	ADSS2	40155.0	89473.0
ENSG00000036257	CUL3		5582.0
ENSG00000036473	OTC	433912.0	25507.0
ENSG00000037474	NSUN2	976.0	21377.0
ENSG00000037757	MRI1	26044.0	11148.0
ENSG00000038002	AGA		8303.0
ENSG00000038219	BOD1L1		2096.0
ENSG00000038274	MAT2B	80931.0	55318.0
ENSG00000038358	EDC4		452.0
ENSG00000038427	VCAN		14376.0
ENSG00000039068	CDH1	13771.0	160619.0
ENSG00000039123	MTREX	199.0	1772.0
ENSG00000039537	C6	7061.0	30139.0
ENSG00000041357	PSMA4	759064.0	1462660.0
ENSG00000041982	TNC	1356.0	10848.0
ENSG00000042493	CAPG	48229.0	894705.0
ENSG00000042753	AP2S1	60985.0	39391.0
ENSG00000043093	DCUN1D1	37702.0	14727.0
ENSG00000044115	CTNNA1	17895.0	84802.0
ENSG00000044574	HSPA5	1122121.0	1037079.0
ENSG00000046604	DSG2		54470.0
ENSG00000047230	CTPS2	428.0	12203.0
ENSG00000047249	ATP6V1H	6711.0	5851.0
ENSG00000047315	POLR2B	279.0	1577.0
ENSG00000047410	TPR		3979.0
ENSG00000047457	CP	190390.0	558107.0
ENSG00000047849	MAP4	42526.0	45195.0
ENSG00000048544	MRPS10		12508.0
ENSG00000048828	FAM120A	3280.0	10862.0
ENSG00000049239	H6PD	4822.0	6142.0
ENSG00000049245	VAMP3		20645.0
ENSG00000049323	LTBP1		347.0
ENSG00000049449	RCN1	8050.0	22421.0
ENSG00000049541	RFC2	14108.0	
ENSG00000049860	HEXB	15340.0	58103.0
ENSG00000050405	LIMA1		2409.0
ENSG00000051523	CYBA		34961.0
ENSG00000051596	THOC3		5343.0
ENSG00000051620	HEBP2	1046921.0	616388.0
ENSG00000052344	PRSS8		25264.0
ENSG00000052749	RRP12		863.0
ENSG00000053371	AKR7A2	227672.0	111913.0
ENSG00000054116	TRAPPC3	8173.0	
ENSG00000054118	THRAP3	4423.0	3706.0
ENSG00000054148	PHPT1	135702.0	167278.0
ENSG00000055044	NOP58		32558.0
ENSG00000055130	CUL1	1942.0	6230.0
ENSG00000055332	EIF2AK2		3168.0
ENSG00000055955	ITIH4	73438.0	179898.0
ENSG00000055957	ITIH1	68651.0	150137.0
ENSG00000056097	ZFR	1476.0	601.0
ENSG00000056998	GYG2	17549.0	
ENSG00000057294	PKP2	2257.0	5128.0
ENSG00000057608	GDI2	977479.0	633004.0
ENSG00000057757	PITHD1	34749.0	26467.0
ENSG00000058272	PPP1R12A		3008.0
ENSG00000058453	CROCC	19381.0	20673.0
ENSG00000058729	RIOK2	3713.0	
ENSG00000059573	ALDH18A1		21952.0
ENSG00000060138	YBX3	2819.0	18906.0
ENSG00000060339	CCAR1		6858.0
ENSG00000060491	OGFR	1930.0	1516.0
ENSG00000060688	SNRNP40		7729.0
ENSG00000060971	ACAA1	293643.0	22532.0
ENSG00000060982	BCAT1		7837.0
ENSG00000061676	NCKAP1		1435.0
ENSG00000061794	MRPS35		3792.0
ENSG00000062038	CDH3		12444.0
ENSG00000062485	CS	25025.0	183154.0
ENSG00000062598	ELMO2		2077.0
ENSG00000063046	EIF4B	50597.0	33337.0
ENSG00000063177	RPL18	340315.0	683547.0
ENSG00000063241	ISOC2	23924.0	7425.0
ENSG00000063244	U2AF2	12111.0	19688.0
ENSG00000063245	EPN1	18209.0	9132.0
ENSG00000063854	HAGH	380404.0	36423.0
ENSG00000064012	CASP8		3285.0
ENSG00000064601	CTSA		18477.0
ENSG00000064651	SLC12A2		24844.0
ENSG00000064666	CNN2		147686.0
ENSG00000064999	ANKS1A		604.0
ENSG00000065000	AP3D1		6604.0
ENSG00000065054	SLC9A3R2	69074.0	13884.0
ENSG00000065135	GNAI3	4075.0	7980.0
ENSG00000065150	IPO5	2905.0	10846.0
ENSG00000065154	OAT		2617.0
ENSG00000065427	KARS1	100309.0	148010.0
ENSG00000065485	PDIA5	15064.0	3132.0
ENSG00000065518	NDUFB4		8862.0
ENSG00000065534	MYLK	18292.0	24887.0
ENSG00000065548	ZC3H15	6574.0	8699.0
ENSG00000065559	MAP2K4	7535.0	
ENSG00000065613	SLK	627.0	3260.0
ENSG00000065809	FAM107B	22212.0	
ENSG00000065833	ME1	2643.0	8924.0
ENSG00000065978	YBX1	131350.0	286905.0
ENSG00000066044	ELAVL1	48761.0	166425.0
ENSG00000066084	DIP2B	502.0	627.0
ENSG00000066427	ATXN3		3293.0
ENSG00000066557	LRRC40	3121.0	
ENSG00000066583	ISOC1	291199.0	52580.0
ENSG00000066654	THUMPD1	17589.0	16675.0
ENSG00000066813	ACSM2B	23392.0	
ENSG00000066926	FECH	3377.0	
ENSG00000067057	PFKP		39557.0
