# Downloaded from: https://www.ebi.ac.uk/gxa/experiments/E-PROT-101/Results?specific=true&geneQuery=%255B%255D&filterFactors=%257B%2522INDIVIDUAL%2522%253A%255B%2522E47.CRC.tumor%2522%252C%2522E45.CRC.tumor%2522%252C%2522E29.CRC.tumor%2522%252C%2522E43.CRC.tumor%2522%252C%2522E24.CRC.tumor%2522%252C%2522E25.CRC.tumor%2522%252C%2522E46.CRC.tumor%2522%255D%257D&cutoff=%257B%2522value%2522%253A0.000001%257D
# Timestamp: 2024-12-20T11:55:48.111Z
# Experiment accession: E-PROT-101
# Biomarkers discovery for Colorectal cancer
# Gene query: []
# Results as shown on page
	tumor
TMA7	547917
REG1A	484881
ANP32A	445566
HMGB3	406112
UBE2I	349200
ENSG00000142534	345893
RPS27	303541
DNAJB1	253415
ENSG00000131469	231252
CLTA	213872
ENSG00000106153	200349
ENSG00000142541	200076
ENSG00000182899	189569
ENSG00000137309	185091
ENSG00000143977	180699
ENSG00000166441	164699
ENSG00000071082	162734
RPL35	153947
PDAP1	153499
BAX	150448
BCAP31	145411
ENSG00000183684	144711
CDK6	140598
RBM8A	132198
RETN	124232
DEK	121401
LSM8	121138
ENSG00000140319	116489
SARNP	109320
PRMT1	105270
ENSG00000138326	103099
ENSG00000188643	100796
RPL32	100539
GPX2	100447
ENSG00000173915	93684
CARHSP1	90322
ENSG00000167005	88135
LAMTOR5	87877
VBP1	87698
SEC13	87160
RPL17	86308
ENSG00000115271	85926
LSM6	85704
TIMM9	85420
ENSG00000101132	82630
ENSG00000090273	82297
ENSG00000129187	81738
RPL10	80822
ENSG00000129562	79987
ENSG00000172809	79492
